DateTime,Geopolitics,Climate Policy,New Energy,Green Bond,Carbon Price,Crude Oil,Natural Gas,Coke
2020-09-14,0.8603692650794983,1.32579423729886,2162.2957,168.6701,40.0,245.1,2578.0,2102.0
2020-09-15,0.8603692650794983,1.53164574567957,2179.6313,168.6386,40.19,245.5,2591.0,2013.5
2020-09-16,0.8603692650794983,1.50242698962797,2198.4193,168.7734,40.5,248.7,2604.0,1987.0
2020-09-17,0.8603692650794983,1.7343340036237,2233.4068,168.8054,40.29,255.4,2590.0,1976.5
2020-09-18,0.8603692650794983,1.21524183757838,2238.4618,168.8116,40.29,259.2,2591.0,1993.5
2020-09-21,0.8603692650794983,1.40334750422453,2222.3177,168.904,40.35,262.6,2599.0,1984.0
2020-09-22,0.8603692650794983,1.78041458105904,2177.5863,168.9644,40.35,255.0,2618.0,1988.0
2020-09-23,0.8603692650794983,1.4120317612723,2235.4518,168.9199,41.03,249.1,2620.0,1988.0
2020-09-24,0.8603692650794983,1.8020344835738,2135.2282,168.9593,40.8,265.0,2625.0,1990.5
2020-09-25,0.8603692650794983,1.63910846330199,2146.9921,168.9354,41.26,265.6,2627.0,1994.5
2020-09-28,0.8603692650794983,1.91292172016978,2171.6964,168.9062,41.82,264.4,2660.0,1995.0
2020-09-29,0.8603692650794983,1.64426536532479,2202.6182,168.9387,41.84,264.9,2673.0,2043.0
2020-09-30,0.8603692650794983,1.43921113494963,2215.879,168.8725,42.0,258.2,2676.0,2030.0
2020-10-09,0.64959716796875,1.23919082091849,2370.5557,168.906,42.0,264.3,2741.0,2100.5
2020-10-12,0.64959716796875,1.78040353006422,2438.4888,168.8728,41.0,263.0,2811.0,2100.5
2020-10-13,0.64959716796875,1.52402281153107,2458.9275,168.8906,41.0,259.6,2863.0,2102.5
2020-10-14,0.64959716796875,1.35722010188321,2460.0408,168.8943,41.01,257.9,2892.0,2270.5
2020-10-15,0.64959716796875,1.8779771590616,2429.1616,168.9246,41.01,260.6,2912.0,2270.5
2020-10-16,0.64959716796875,1.46861848822552,2377.2982,168.8846,41.0,257.5,2950.0,2270.5
2020-10-19,0.64959716796875,1.18172907722201,2324.5361,168.9911,41.23,259.9,3060.0,2270.5
2020-10-20,0.64959716796875,1.58127578526368,2377.8961,169.0632,41.52,258.3,3125.0,2270.5
2020-10-21,0.64959716796875,1.44325311383345,2322.0748,169.1639,42.44,257.5,3152.0,2270.5
2020-10-22,0.64959716796875,1.36988385692671,2313.7941,169.3455,42.44,253.5,3179.0,2102.0
2020-10-23,0.64959716796875,1.04171453961415,2267.62,169.416,40.28,253.8,3279.0,2263.5
2020-10-26,0.64959716796875,1.34393282317872,2323.3072,169.4523,40.15,249.3,3558.0,2270.5
2020-10-27,0.64959716796875,1.32022330305634,2342.2597,169.4126,40.62,243.6,3586.0,2295.0
2020-10-28,0.64959716796875,1.29242128591089,2379.2201,169.4162,40.24,243.7,3627.0,2376.0
2020-10-29,0.64959716796875,1.33235082220074,2387.7746,169.4472,40.13,229.4,3671.0,2481.0
2020-10-30,0.64959716796875,1.53559760826064,2377.0474,169.4472,40.13,211.8,3688.0,2582.5
2020-11-02,0.4175652861595154,1.49101940677351,2437.7361,169.535,41.49,224.3,3707.0,2605.0
2020-11-03,0.4175652861595154,0.995367918085163,2432.0179,169.6124,41.49,229.6,3757.0,2605.0
2020-11-04,0.4175652861595154,1.31505383834963,2419.9267,169.6736,41.35,235.0,3769.0,2605.0
2020-11-05,0.4175652861595154,1.77183568537301,2523.5612,169.7236,40.65,236.4,3748.0,2605.0
2020-11-06,0.4175652861595154,1.40896319329293,2481.8127,169.7529,36.59,234.6,3745.0,2605.0
2020-11-09,0.4175652861595154,1.62567874946147,2526.9207,169.7681,40.05,234.1,3729.0,2605.0
2020-11-10,0.4175652861595154,1.13079178319959,2530.5981,169.754,41.44,248.3,3739.0,2605.0
2020-11-11,0.4175652861595154,1.57297132224268,2465.4801,169.728,37.3,251.5,3746.0,2605.0
2020-11-12,0.4175652861595154,1.38323009113502,2467.5403,169.641,33.6,254.0,3741.0,2605.0
2020-11-13,0.4175652861595154,2.2891805697871,2461.4051,169.4186,30.3,252.2,3728.0,2605.0
2020-11-16,0.4175652861595154,2.0392504742081,2469.8341,169.4334,28.6,250.9,3671.0,2449.0
2020-11-17,0.4175652861595154,1.35318890740271,2410.6021,169.4258,28.6,253.0,3677.0,2464.0
2020-11-18,0.4175652861595154,1.96351542692311,2368.943,169.4076,29.5,249.7,3633.0,2442.0
2020-11-19,0.4175652861595154,1.86121378976314,2392.7067,169.3391,32.45,251.4,3586.0,2409.0
2020-11-20,0.4175652861595154,1.7708172367896,2456.6204,169.2176,35.7,252.1,3552.0,2414.5
2020-11-23,0.4175652861595154,2.178635818385,2519.0976,169.3528,39.27,254.6,3551.0,2394.0
2020-11-24,0.4175652861595154,1.37169430935038,2534.572,169.3463,39.73,260.8,3563.0,2385.5
2020-11-25,0.4175652861595154,1.64507972736893,2495.0693,169.4334,41.5,271.4,3570.0,2393.0
2020-11-26,0.4175652861595154,1.40164412507592,2485.9661,169.4677,41.47,279.6,3581.0,2429.5
2020-11-27,0.4175652861595154,1.3636353276339,2479.0399,169.4693,41.47,279.3,3760.0,2432.5
2020-11-30,0.4175652861595154,1.33070119596902,2466.1434,169.6918,41.45,279.8,3994.0,2463.5
2020-12-01,0.5949008464813232,1.22460346284204,2498.1994,169.7936,41.45,286.8,4116.0,2507.0
2020-12-02,0.5949008464813232,1.39405212398077,2477.3834,169.8157,41.5,284.7,4162.0,2507.0
2020-12-03,0.5949008464813232,1.96761455656074,2461.9226,169.8155,41.5,288.0,4346.0,2507.0
2020-12-04,0.5949008464813232,1.41406208055846,2486.1118,169.8697,41.49,292.2,4456.0,2507.0
2020-12-07,0.5949008464813232,1.27852679056065,2525.7287,169.901,41.49,293.8,4786.0,2507.0
2020-12-08,0.5949008464813232,1.46410813548398,2566.4298,169.9273,41.49,290.3,4817.0,2507.0
2020-12-09,0.5949008464813232,1.63810059685526,2542.5113,169.9073,41.5,284.7,4822.0,2507.0
2020-12-10,0.5949008464813232,1.29326843981741,2579.7358,169.9921,41.5,285.0,4930.0,2507.0
2020-12-11,0.5949008464813232,1.20742971485475,2545.2152,170.0125,41.5,290.6,4977.0,2507.0
2020-12-14,0.5949008464813232,1.59123465659093,2629.8658,170.0403,41.5,289.3,5508.0,2533.5
2020-12-15,0.5949008464813232,1.52453555871555,2678.514,170.1181,41.5,288.5,5638.0,2616.0
2020-12-16,0.5949008464813232,2.00969454478376,2692.2753,170.1962,41.5,290.2,5576.0,2617.5
