指标名称,中债-中国绿色债券指数,期货结算价(连续):INE原油,中国:碳市场碳排放配额(CEA):最新价,中国:碳市场碳排放配额(CEA):成交量,中国液化天然气出厂价格指数,期货结算价(连续):焦炭,期货结算价(连续):焦煤
2011/8/18,102.8283,,,,,2146,
2011/8/19,102.8869,,,,,2115,
2011/8/22,102.9326,,,,,2078,
2011/8/23,102.9549,,,,,2002,
2011/8/24,102.9314,,,,,2001,
2011/8/25,102.8489,,,,,2017,
2011/8/26,102.8058,,,,,2023,
2011/8/29,102.5381,,,,,2010,
2011/8/30,102.3109,,,,,2008,
2011/8/31,102.2825,,,,,2014,
2011/9/1,102.3678,,,,,2035,
2011/9/2,102.3812,,,,,2035,
2011/9/5,102.4774,,,,,2020,
2011/9/6,102.4344,,,,,2023,
2011/9/7,102.2768,,,,,2030,
2011/9/8,102.2029,,,,,2021,
2011/9/9,102.1588,,,,,2021,
2011/9/13,102.2016,,,,,2021,
2011/9/14,102.1449,,,,,2000,
2011/9/15,102.1064,,,,,2027,
2011/9/16,102.0952,,,,,2042,
2011/9/19,102.1112,,,,,2027,
2011/9/20,102.1045,,,,,2025,
2011/9/21,102.1094,,,,,2050,
2011/9/22,102.1117,,,,,2014,
2011/9/23,102.1327,,,,,1991,
2011/9/26,102.1663,,,,,1935,
2011/9/27,102.1799,,,,,1935,
2011/9/28,102.2003,,,,,1930,
2011/9/29,102.2095,,,,,1834,
2011/9/30,102.2324,,,,,1744,
2011/10/8,102.3686,,,,,,
2011/10/9,102.3994,,,,,,
2011/10/10,102.4409,,,,,1866,
2011/10/11,102.4752,,,,,1866,
2011/10/12,102.4952,,,,,1970,
2011/10/13,102.5915,,,,,1852,
2011/10/14,102.7256,,,,,1852,
2011/10/17,102.9534,,,,,1852,
2011/10/18,103.2759,,,,,1852,
2011/10/19,104.1011,,,,,1852,
2011/10/20,104.5164,,,,,1852,
2011/10/21,104.6419,,,,,1863,
2011/10/24,104.6972,,,,,1688,
2011/10/25,104.6299,,,,,1772,
2011/10/26,104.7854,,,,,1772,
2011/10/27,104.8875,,,,,1771,
2011/10/28,104.8907,,,,,1780,
2011/10/31,104.9773,,,,,1780,
2011/11/1,105.1031,,,,,1780,
2011/11/2,105.2615,,,,,1780,
2011/11/3,105.3507,,,,,1780,
2011/11/4,105.4882,,,,,1780,
2011/11/7,105.6564,,,,,1850,
2011/11/8,105.8516,,,,,1850,
2011/11/9,105.9344,,,,,1850,
2011/11/10,106.1472,,,,,1850,
2011/11/11,106.4263,,,,,1850,
2011/11/14,106.3993,,,,,1850,
2011/11/15,106.3534,,,,,1880,
2011/11/16,106.3291,,,,,1880,
2011/11/17,106.1662,,,,,1880,
2011/11/18,106.2135,,,,,1880,
2011/11/21,106.0662,,,,,1880,
2011/11/22,105.983,,,,,1880,
2011/11/23,106.0069,,,,,1880,
2011/11/24,106.0804,,,,,1880,
2011/11/25,106.1106,,,,,1880,
2011/11/28,106.1697,,,,,1880,
2011/11/29,106.046,,,,,1880,
2011/11/30,106.0452,,,,,1880,
2011/12/1,106.768,,,,,1880,
2011/12/2,106.9533,,,,,1880,
2011/12/5,107.0427,,,,,1880,
2011/12/6,106.9742,,,,,1880,
2011/12/7,107.0507,,,,,1880,
2011/12/8,107.1312,,,,,1880,
2011/12/9,107.1449,,,,,1880,
2011/12/12,107.1452,,,,,1880,
2011/12/13,107.1219,,,,,1880,
2011/12/14,107.1489,,,,,1880,
2011/12/15,107.1597,,,,,1909,
2011/12/16,107.2382,,,,,1922,
2011/12/19,107.3191,,,,,1922,
2011/12/20,107.3352,,,,,1918,
2011/12/21,107.311,,,,,1918,
2011/12/22,107.3081,,,,,1904,
2011/12/23,107.3216,,,,,1851,
2011/12/26,107.3937,,,,,1849,
2011/12/27,107.4353,,,,,1860,
2011/12/28,107.4647,,,,,1850,
2011/12/29,107.4906,,,,,1812,
2011/12/30,107.5645,,,,,1806,
2011/12/31,107.5855,,,,,,
2012/1/4,107.6625,,,,,1750,
2012/1/5,107.7701,,,,,1750,
2012/1/6,108.0465,,,,,1750,
2012/1/9,108.3272,,,,,1830,
2012/1/10,108.6787,,,,,1850,
2012/1/11,108.948,,,,,1847,
2012/1/12,109.2262,,,,,1847,
2012/1/13,109.2098,,,,,1830,
2012/1/16,109.2345,,,,,1830,
2012/1/17,109.2428,,,,,1835,
2012/1/18,109.2454,,,,,1940,
