,新能源指数,新能源指数,绿色债券指数,碳价,INE原油,天然气价格,焦炭价格
2021-07-29,4391.8069,0.0687997155033564,0.00027818119235245575,0.0,-0.00045085663523014574,0.02370064742620137,0.025033235681601873
2021-07-30,4422.5709,0.006980441641283974,0.0008475812083261758,0.0,-0.08294055137388945,0.004752484192513506,0.029496753219531158
2021-07-31,4422.5709,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,4422.5709,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-02,4476.1426,0.012040470165100459,0.0016980647776438929,0.01734863833461331,0.102367309468125,0.048583185214690516,0.03466329065369855
2021-08-03,4268.6707,-0.047459181447052856,0.0002319180446841429,0.0,-0.02326726885785213,-0.004715655253779261,0.0
2021-08-04,4588.4052,0.07223004541933697,7.355114769769244e-05,0.0,-0.022431702741906534,0.002832060799718761,0.0
2021-08-05,4604.6121,0.0035259189146721326,0.00026215741102664225,0.0,-0.007901505204634063,-0.0007544323254862206,0.0
2021-08-06,4671.7316,0.01447136361389667,0.0002626498466140603,0.0,-0.00023334500164207128,0.010510607270850514,0.0
2021-08-07,4671.7316,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-08,4671.7316,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-09,4531.6451,-0.03044476494316406,-0.0003126060227085503,0.0,-0.004912865186200044,0.01794848811499783,0.0
2021-08-10,4500.9484,-0.006796900176391674,-0.0003340408105421133,0.0,-0.020614401348504785,0.003843694674563025,0.0
2021-08-11,4550.0703,0.01085455326695417,-3.537556071364634e-05,0.0,0.028556512705280035,0.0007304602223996426,0.0
2021-08-12,4538.4225,-0.002563198680679335,0.00039018497227427673,0.018742181809740188,-0.002562610604478266,-0.002925047789373636,0.0
2021-08-13,4484.707,-0.011906320209561727,0.00010552028244426026,0.0,0.006278360351124057,0.0,0.0
2021-08-14,4484.707,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15,4484.707,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-16,4344.8731,-0.03167661219574747,0.00011504932120942613,-0.038844608340974585,-0.006511650915578926,0.006933069186912277,0.002677799505136136
2021-08-17,4313.1746,-0.007322353197714904,-9.259963376440083e-05,0.027446400786992786,-0.015518769003464605,0.001453488627984001,0.012506025116207908
2021-08-18,4298.2142,-0.003474564997206997,0.00046291244571339263,-0.012270092591814663,0.004728141195945668,0.005431843882361065,0.02667233528096169
2021-08-19,4405.5779,0.024671808498675674,0.00031521890587260515,0.005662947547827812,-0.009002666821057659,0.0030649983428236993,0.021992059940657782
2021-08-20,4394.6307,-0.002487942307823232,7.738731457518355e-05,0.0,-0.026526754333429103,0.011277305590457587,0.023833279567627486
2021-08-21,4394.6307,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-22,4394.6307,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-23,4513.8833,0.02677432485617537,0.0001407398375965485,-0.01833549880159424,-0.01056391103935539,0.004440110304951617,0.015484180334041753
2021-08-24,4626.5114,0.02464528161055135,0.000219761245989325,0.0,0.023191567907157484,-0.002661699734860079,0.02167267489889646
2021-08-25,4726.9929,0.021486143030619687,0.0001614264722737957,0.02494264384558109,0.03159032428759012,0.005846415802379212,0.001530222180766927
2021-08-26,4647.3849,-0.016984575496687526,-0.00045519982488340105,0.0,0.014622518867541956,0.005988041844624092,0.0038845775818341366
2021-08-27,4744.2141,0.020621117064912653,-8.410813277848206e-06,-0.012023209489708808,0.0006910054403714838,0.0015790862128479688,-0.015067249329002053
2021-08-28,4744.2141,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-29,4744.2141,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-30,4905.6762,0.03346715147435475,0.0004518408386262607,-0.0009878983268247765,0.0,0.004547847614654543,0.008119882216622187
2021-08-31,4853.1494,-0.010765087812199425,0.00021407660213235147,0.01276717562847196,0.0,0.014209214981388385,0.04164708627489233
2021-09-01,4579.411,-0.05805746779464016,0.00030198303353845546,-0.00048804295746673887,0.013720773220931903,0.01604403761369433,0.010245582272487397
2021-09-02,4726.0893,0.031527686822075296,3.361028206061434e-05,-0.008087288288553207,-0.0031847160675200215,0.0,0.01302050353751838
2021-09-03,4564.6082,-0.03476539063860784,3.809028742907117e-05,-0.002463662246372511,0.037563101575647906,0.0020297706562857343,0.024141106534532497
2021-09-04,4564.6082,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-05,4564.6082,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-06,4607.3201,0.00931368134484778,0.0004446527777535181,-0.000740283809254727,-0.009037865994329763,0.0006756757013821613,0.03299552911627224
2021-09-07,4735.6145,0.027465131700374457,6.998400168622965e-05,0.0,0.005960940489851296,-0.00169004603349876,0.016280425686954203
2021-09-08,4642.4372,-0.019872009505839117,-0.0002374056057909968,-0.005197388261962033,-0.007290433262679308,-0.0011847339965758152,-0.0037710646234891954
2021-09-09,4657.4461,0.003227763735658584,-0.00015848841289667348,-0.004725789170675565,0.008170521328286107,-0.0006776215742938518,0.05142734999645526
2021-09-10,4709.0425,0.011017345796958011,-0.00016747618194568048,-0.0014970062675931928,-0.002642591275773043,-0.0016960655354800735,0.05023345998156792
2021-09-11,4709.0425,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-12,4709.0425,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-13,4622.9961,-0.018441595093761975,0.00036460283758010803,0.0004992511336849859,0.01878604832102937,0.0,-0.008735611475591654
