,地缘政治风险指数（GPR China）,气候政策风险指数（CCPU）,绿色债券指数,INE原油,碳市场碳排放配额价格,天然气出厂价格指数,焦煤期货价格
2021-11-16,0.7960199117660522,1.62627593126127,1.0126963378166665,1.1648802736602053,0.8424751122389225,1.7220940959409594,1.2960457856399583
2021-11-17,0.7960199117660522,2.25322452728077,1.012841642359723,1.1740022805017103,0.8416943197345306,1.7184040590405905,1.2463579604578563
2021-11-18,0.7960199117660522,2.13053951278144,1.0130242624663666,1.1671607753705815,0.8424751122389225,1.7140221402214022,1.2302289281997918
2021-11-19,0.7960199117660522,1.67583633309432,1.0132068825730098,1.171037628278221,0.8403279328518446,1.713791512915129,1.2572840790842872
2021-11-20,0.7960199117660522,2.39142724062957,1.0132068825730098,1.171037628278221,0.8403279328518446,1.713791512915129,1.2572840790842872
2021-11-21,0.7960199117660522,1.28411252967894,1.0132068825730098,1.171037628278221,0.8403279328518446,1.713791512915129,1.2572840790842872
2021-11-22,0.7960199117660522,1.5170777228721,1.013754177505613,1.140478905359179,0.8403279328518446,1.7110239852398523,1.2809573361082207
2021-11-23,0.7960199117660522,2.02121387214915,1.0140792752186776,1.1505131128848347,0.8405231309779427,1.7147140221402215,1.3134755463059313
2021-11-24,0.7960199117660522,1.7804778008641,1.014603954658198,1.1833523375142532,0.8385711497169628,1.7190959409594095,1.342872008324662
2021-11-25,0.7960199117660522,2.06005335204816,1.01494884092771,1.1970353477765108,0.8385711497169628,1.7269372693726937,1.3571800208116545
2021-11-26,0.7960199117660522,1.84295540279608,1.0153248235002112,1.1370581527936146,0.8364239703298849,1.7327029520295203,1.3298647242455774
2021-11-27,0.7960199117660522,2.55403917026604,1.0153248235002112,1.1370581527936146,0.8364239703298849,1.7327029520295203,1.3298647242455774
2021-11-28,0.7960199117660522,0.881269391638551,1.0153248235002112,1.1370581527936146,0.8364239703298849,1.7327029520295203,1.3298647242455774
2021-11-29,0.7960199117660522,1.62713728035487,1.0157584755800733,1.1199543899657924,0.8377903572125709,1.7027214022140222,1.3298647242455774
2021-11-30,0.7960199117660522,2.4192304420995,1.0158738145947954,1.0426453819840364,0.8383759515908649,1.686808118081181,1.3444328824141518
2021-12-01,0.863984227180481,1.95086829869095,1.0159377033627541,1.014139110604333,0.8387663478430607,1.6379151291512914,1.4547346514047867
2021-12-02,0.863984227180481,1.88206284373013,1.0160541731521304,1.015279361459521,0.8370095647081789,1.6185424354243543,1.4547346514047867
2021-12-03,0.863984227180481,1.6121439211697,1.0161994776951873,0.9933865450399089,0.8381807534647667,1.580258302583026,1.3917793964620186
2021-12-04,0.863984227180481,2.14595900862911,1.0161994776951873,0.9933865450399089,0.8381807534647667,1.580258302583026,1.3917793964620186
2021-12-05,0.863984227180481,1.62999167396777,1.0161994776951873,0.9933865450399089,0.8381807534647667,1.580258302583026,1.3917793964620186
2021-12-06,0.863984227180481,2.09277227616164,1.0179651823176246,1.0282782212086659,0.835252781573297,1.4287361623616237,1.4318418314255983
2021-12-07,0.863984227180481,1.89204243468109,1.0179487860851395,1.041049030786773,0.8223697052508296,1.4040590405904059,1.347554630593132
2021-12-08,0.863984227180481,1.90775622717691,1.0178385355563608,1.0795895096921322,0.8092914308022644,1.3726937269372694,1.347554630593132
